Título
Garantias Trabalhistas
Sistema de Compras do Governo Federal
Órgão Público
Todos os interessados podem aderir ao Compras.gov.br
Fornecedor
O Compras.gov.br une fornecedores interessados em aumentar o seu faturamento
Veja as Novidades
Consultar Oportunidades
Compras Homologadas - 1º Semestre/25
Comunicados
Nº 39/25 - Publicações pela Imprensa Nacional no dia 3 de novembro de 2025
Nº 38/25 - Instabilidade no acesso ao Sistema de Gestão de Acesso (SGA)
Nº 37/25 - Sistemas Compras e Contratos Gov.br estão adaptados para realização e acompanhamento das licitações fundamentadas na Medida Provisória n.º 1.309/25
Notícias
"Compras públicas estratégicas, um dos pilares de atuação da Gestão, são destaque na Semana de Inovação da Enap"
Matriz Orientativa passa a integrar o site do Plano de Logística Sustentável
"Resultado do Processo Seletivo CGCOP/DELOG/SEGES/MGI – Coordenação-geral dos sistemas de Compras e Passagens – Edital nº 718, de 18 de junho de 2025"
Eventos
O que muda com a migração da Dispensa com Disputa para o Novo DC
Benefícios do Acordo Chile-Brasil: Compras Públicas
Novidades no aplicativo do SCDP
Atendimento e Suporte
Canais Fala BR
